acc,precision,f1,recall,nclust,sliding,k,t
0.7043478260869566,0.7043478260869566,0.7043478260869566,0.7043478260869566,2,2,1,3658212.908
0.7391304347826086,0.7391304347826086,0.7391304347826085,0.7391304347826086,2,2,2,3658754.353
0.7217391304347827,0.7217391304347827,0.7217391304347827,0.7217391304347827,2,2,10,3658232.961
0.7391304347826086,0.7391304347826086,0.7391304347826085,0.7391304347826086,2,2,30,3656971.805
0.7391304347826086,0.7391304347826086,0.7391304347826085,0.7391304347826086,2,2,50,3657776.432
0.7391304347826086,0.7391304347826086,0.7391304347826085,0.7391304347826086,2,2,100,3657790.103
0.7391304347826086,0.7391304347826086,0.7391304347826085,0.7391304347826086,2,2,300,3657440.816
0.7217391304347827,0.7217391304347827,0.7217391304347827,0.7217391304347827,2,3,1,3656935.971
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,2,3,2,3656685.0
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,2,3,10,3656989.137
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,2,3,30,3657139.53
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,2,3,50,3656880.452
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,2,3,100,3655043.004
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,2,3,300,3655733.0
,,,,2,5,1,
,,,,2,5,2,
,,,,2,5,10,
,,,,2,5,30,
,,,,2,5,50,
,,,,2,5,100,
,,,,2,5,300,
,,,,2,10,1,
,,,,2,10,2,
,,,,2,10,10,
,,,,2,10,30,
,,,,2,10,50,
,,,,2,10,100,
,,,,2,10,300,
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,5,2,1,3667398.857
0.6434782608695652,0.6434782608695652,0.6434782608695652,0.6434782608695652,5,2,2,3669346.958
0.6782608695652174,0.6782608695652174,0.6782608695652174,0.6782608695652174,5,2,10,3667909.144
0.7043478260869566,0.7043478260869566,0.7043478260869566,0.7043478260869566,5,2,30,3667054.446
0.6869565217391305,0.6869565217391305,0.6869565217391305,0.6869565217391305,5,2,50,3664077.132
0.6782608695652174,0.6782608695652174,0.6782608695652174,0.6782608695652174,5,2,100,3667173.844
0.6782608695652174,0.6782608695652174,0.6782608695652174,0.6782608695652174,5,2,300,3667935.822
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,5,3,1,3668450.33
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,5,3,2,3667018.215
0.7217391304347827,0.7217391304347827,0.7217391304347827,0.7217391304347827,5,3,10,3666560.791
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,5,3,30,3667415.907
0.7043478260869566,0.7043478260869566,0.7043478260869566,0.7043478260869566,5,3,50,3666210.039
0.7043478260869566,0.7043478260869566,0.7043478260869566,0.7043478260869566,5,3,100,3668377.069
0.7043478260869566,0.7043478260869566,0.7043478260869566,0.7043478260869566,5,3,300,3669107.093
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,5,5,1,3666894.002
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,5,5,2,3665686.231
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,5,5,10,3665705.251
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,5,5,30,3668348.999
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,5,5,50,3668750.836
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,5,5,100,3668518.096
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,5,5,300,3665595.887
,,,,5,10,1,
,,,,5,10,2,
,,,,5,10,10,
,,,,5,10,30,
,,,,5,10,50,
,,,,5,10,100,
,,,,5,10,300,
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,2,1,3829851.692
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,2,2,3820524.683
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,2,10,3827790.155
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,2,30,3820534.631
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,2,50,3822758.094
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,2,100,3817543.483
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,2,300,3775131.391
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,3,1,3766178.766
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,3,2,3769191.857
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,3,10,3766867.53
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,3,30,3767086.785
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,3,50,3767087.254
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,3,100,3766794.302
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,3,300,3767313.421
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,5,1,3767142.414
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,5,2,3767954.009
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,5,10,3765751.158
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,5,30,3766137.349
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,5,50,3765928.179
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,5,100,3765741.091
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,5,300,3765989.0
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,10,1,3763458.26
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,10,2,3764263.562
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,10,10,3835317.112
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,10,30,3779433.132
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,10,50,3772693.496
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,10,100,3774601.077
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,10,10,300,3777697.193
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,20,2,1,4054747.738
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,20,2,2,4134883.641
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,20,2,10,4011175.156
0.6782608695652174,0.6782608695652174,0.6782608695652174,0.6782608695652174,20,2,30,4000710.076
0.6869565217391305,0.6869565217391305,0.6869565217391305,0.6869565217391305,20,2,50,4009093.688
0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,20,2,100,4009702.0609999998
0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,20,2,300,4008288.506
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,20,3,1,4009107.692
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,20,3,2,4009392.677
0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,20,3,10,4008420.316
0.6869565217391305,0.6869565217391305,0.6869565217391305,0.6869565217391305,20,3,30,4010059.976
0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,20,3,50,4010015.047
0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,20,3,100,4006552.303
0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,20,3,300,4009076.392
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,20,5,1,4007721.286
0.7217391304347827,0.7217391304347827,0.7217391304347827,0.7217391304347827,20,5,2,4008320.633
0.7217391304347827,0.7217391304347827,0.7217391304347827,0.7217391304347827,20,5,10,4007347.973
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,20,5,30,4019990.494
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,20,5,50,4026156.848
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,20,5,100,4018213.2
0.7304347826086957,0.7304347826086957,0.7304347826086957,0.7304347826086957,20,5,300,4021251.658
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,20,10,1,4024731.408
0.7130434782608696,0.7130434782608696,0.7130434782608696,0.7130434782608696,20,10,2,4017257.375
0.6782608695652174,0.6782608695652174,0.6782608695652174,0.6782608695652174,20,10,10,4006995.637
0.6782608695652174,0.6782608695652174,0.6782608695652174,0.6782608695652174,20,10,30,4016104.539
0.6869565217391305,0.6869565217391305,0.6869565217391305,0.6869565217391305,20,10,50,4016422.703
0.6782608695652174,0.6782608695652174,0.6782608695652174,0.6782608695652174,20,10,100,4015786.709
