1,1,62458,147,1970-01-01 01:00:00,1970-01-01 01:11:48,708,887750041,996796369,-1
3,1,69278,170,1970-01-01 01:00:00,1970-01-01 01:08:44,524,592983282,953742666,-1
5,1,33963,119,1970-01-01 01:00:00,1970-01-01 01:10:25,625,359922172,2088371948,-1
6,1,56765,153,1970-01-01 01:00:00,1970-01-01 01:11:51,711,168907708,902830499,-1
7,1,93441,166,1970-01-01 01:00:00,1970-01-01 01:11:50,710,1864230087,1427381743,-1
9,1,63356,212,1970-01-01 01:00:00,1970-01-01 01:11:57,717,1430439149,208866101,-1
10,1,74966,168,1970-01-01 01:00:00,1970-01-01 01:11:07,667,1430439149,208866101,-1
11,1,23666,129,1970-01-01 01:00:00,1970-01-01 01:11:49,709,678433396,30578394,-1
12,1,43573,143,1970-01-01 01:00:00,1970-01-01 01:11:57,717,678433396,678433396,-1
13,1,68839,189,1970-01-01 01:00:00,1970-01-01 01:11:46,706,1534745514,1279271200,-1
14,1,67056,180,1970-01-01 01:00:00,1970-01-01 01:11:49,709,1223867739,1427381743,-1
15,1,50731,108,1970-01-01 01:00:00,1970-01-01 01:11:53,713,208866101,887750041,-1
17,1,42739,91,1970-01-01 01:00:00,1970-01-01 01:11:45,705,208866101,2088371948,-1
19,1,50822,115,1970-01-01 01:00:00,1970-01-01 01:11:44,704,1104443373,592983282,-1
20,1,35487,108,1970-01-01 01:00:00,1970-01-01 01:11:40,700,135640095,1527953000,-1
21,1,11920,41,1970-01-01 01:00:00,1970-01-01 01:10:38,638,522553046,275266973,-1
22,1,12792,46,1970-01-01 01:00:00,1970-01-01 01:11:30,690,1276261147,52908367,-1
23,1,112384,183,1970-01-01 01:00:00,1970-01-01 01:11:53,713,96406857,758348212,-1
25,1,90091,233,1970-01-01 01:00:00,1970-01-01 01:11:50,710,825249556,1427381743,-1
26,1,42925,140,1970-01-01 01:00:00,1970-01-01 01:11:53,713,678433396,1427381743,-1
28,1,29014,79,1970-01-01 01:00:00,1970-01-01 01:08:30,510,1632682988,1430439149,-1
29,1,55326,149,1970-01-01 01:00:00,1970-01-01 01:11:40,700,1948471365,1735507635,-1
31,1,53830,156,1970-01-01 01:00:00,1970-01-01 01:11:53,713,359922172,208866101,-1
33,1,74682,172,1970-01-01 01:00:00,1970-01-01 01:11:55,715,915349526,1764696127,-1
34,1,78487,172,1970-01-01 01:00:00,1970-01-01 01:11:49,709,129153987,1208121709,-1
35,1,18836,75,1970-01-01 01:00:00,1970-01-01 01:09:44,584,522553046,275266973,-1
36,1,70334,169,1970-01-01 01:00:00,1970-01-01 01:11:48,708,1954406292,1864230087,-1
37,1,44150,188,1970-01-01 01:00:00,1970-01-01 01:11:57,717,2093010349,1499867659,-1
38,1,64274,150,1970-01-01 01:00:00,1970-01-01 01:11:55,715,1162918744,2093010349,-1
39,1,54509,114,1970-01-01 01:00:00,1970-01-01 01:11:42,702,1136419747,1136419747,-1
41,1,88311,178,1970-01-01 01:00:00,1970-01-01 01:11:44,704,576020159,902830499,-1
42,1,66732,179,1970-01-01 01:00:00,1970-01-01 01:11:57,717,757004314,208866101,-1
46,1,41243,211,1970-01-01 01:00:00,1970-01-01 01:11:57,717,869601985,869601985,-1
47,1,125044,233,1970-01-01 01:00:00,1970-01-01 01:11:55,715,1954406292,1984975621,-1
48,1,62473,167,1970-01-01 01:00:00,1970-01-01 01:11:59,719,2073621255,1819063424,-1
50,1,108317,218,1970-01-01 01:00:00,1970-01-01 01:11:50,710,1208121709,1162918744,-1
51,1,90222,209,1970-01-01 01:00:00,1970-01-01 01:11:51,711,2088445230,1278677872,-1
53,1,110312,211,1970-01-01 01:00:00,1970-01-01 01:11:57,717,1764696127,60292059,-1
54,1,59930,210,1970-01-01 01:00:00,1970-01-01 01:11:57,717,953742666,691690486,-1
55,1,7737,18,1970-01-01 01:00:00,1970-01-01 01:11:01,661,1578009262,1939990953,-1
56,1,61153,179,1970-01-01 01:00:00,1970-01-01 01:11:55,715,132577100,135640095,-1
59,1,84525,207,1970-01-01 01:00:00,1970-01-01 01:11:46,706,258931371,798981583,-1
60,1,107529,199,1970-01-01 01:00:00,1970-01-01 01:11:42,702,1939990953,1976870338,-1
62,1,63738,122,1970-01-01 01:00:00,1970-01-01 01:11:40,700,922511709,943870983,-1
63,1,57530,205,1970-01-01 01:00:00,1970-01-01 01:11:53,713,691690486,1427651360,-1
66,1,38771,82,1970-01-01 01:00:00,1970-01-01 01:11:44,704,1136419747,1083021083,-1
67,1,49006,158,1970-01-01 01:00:00,1970-01-01 01:11:55,715,1136419747,587153993,-1
70,1,17129,92,1970-01-01 01:00:00,1970-01-01 01:04:20,260,1448525331,68377659,-1
71,1,18523,91,1970-01-01 01:00:00,1970-01-01 01:04:30,270,2088445230,168907708,-1
73,1,21735,101,1970-01-01 01:00:00,1970-01-01 01:04:32,272,825249556,1448525331,-1
74,1,25628,106,1970-01-01 01:00:00,1970-01-01 01:04:30,270,592983282,1550207152,-1
75,1,23867,100,1970-01-01 01:00:00,1970-01-01 01:04:32,272,1104443373,807657332,-1
76,1,3541,9,1970-01-01 01:00:00,1970-01-01 01:04:18,258,1448525331,2088445230,-1
81,1,0,2,1970-01-01 01:00:00,1970-01-01 01:00:00,0,168907708,168907708,-1
82,1,5654,19,1970-01-01 01:00:00,1970-01-01 01:04:30,270,2088445230,310623126,-1
83,1,20414,89,1970-01-01 01:00:00,1970-01-01 01:04:16,256,1427646530,1164107853,-1
84,1,21070,100,1970-01-01 01:00:00,1970-01-01 01:04:32,272,2088445230,68377659,-1
85,1,21727,81,1970-01-01 01:00:00,1970-01-01 01:04:32,272,2088445230,1671179293,-1
86,1,24468,77,1970-01-01 01:00:00,1970-01-01 01:04:28,268,1427646530,1427646530,-1
87,1,16224,55,1970-01-01 01:00:00,1970-01-01 01:04:30,270,2073621255,807657332,-1
89,1,22769,89,1970-01-01 01:00:00,1970-01-01 01:04:30,270,592983282,2088445230,-1
91,1,24581,92,1970-01-01 01:00:00,1970-01-01 01:04:20,260,2088445230,1427646530,-1
92,1,30957,100,1970-01-01 01:00:00,1970-01-01 01:04:32,272,2073621255,807657332,-1
94,1,23430,101,1970-01-01 01:00:00,1970-01-01 01:04:32,272,825249556,1427646530,-1
95,1,34347,95,1970-01-01 01:00:00,1970-01-01 01:04:32,272,953742666,310623126,-1
96,1,26490,102,1970-01-01 01:00:00,1970-01-01 01:04:35,275,592983282,310623126,-1
97,1,16629,55,1970-01-01 01:00:00,1970-01-01 01:04:24,264,807657332,1427646530,-1
98,1,28095,103,1970-01-01 01:00:00,1970-01-01 01:04:32,272,825936265,807657332,-1
99,1,22265,85,1970-01-01 01:00:00,1970-01-01 01:04:32,272,1104443373,1427646530,-1
100,1,15794,63,1970-01-01 01:00:00,1970-01-01 01:04:32,272,825936265,1427646530,-1
